issue_id	comment_created_at	comment_by
53483066	68828950	2015-01-06 05:46:59	68828950
53483066	68829980	2015-01-06 06:05:25	68829980
53469378	68812475	2015-01-06 01:23:38	68812475
53418262	68750474	2015-01-05 18:18:15	68750474
53317513	68612616	2015-01-03 22:44:48	68612616
53317513	68612664	2015-01-03 22:46:16	68612664
53306826	68603612	2015-01-03 18:05:40	68603612
53305665	68598925	2015-01-03 15:50:49	68598925
53305665	68611539	2015-01-03 22:08:44	68611539
53305665	68612246	2015-01-03 22:31:39	68612246
53146183	68397855	2014-12-30 21:00:39	68397855
53146183	68397990	2014-12-30 21:01:56	68397990
53146183	68398240	2014-12-30 21:04:27	68398240
53146183	68398760	2014-12-30 21:10:01	68398760
53146183	68398820	2014-12-30 21:10:43	68398820
53146183	68414796	2014-12-31 00:46:17	68414796
53037174	68254999	2014-12-29 12:54:05	68254999
53037174	68255082	2014-12-29 12:55:40	68255082
53037174	68268394	2014-12-29 15:50:14	68268394
53037174	68442142	2014-12-31 13:39:21	68442142
53037174	68493599	2015-01-01 18:15:56	68493599
53033779	68267703	2014-12-29 15:42:30	68267703
53033251	68269720	2014-12-29 16:03:58	68269720
53033251	68270585	2014-12-29 16:13:49	68270585
53033251	68362531	2014-12-30 14:56:34	68362531
53033251	68389928	2014-12-30 19:43:24	68389928
53033251	68450156	2014-12-31 15:57:51	68450156
53033251	68463898	2014-12-31 19:28:52	68463898
53033251	68493868	2015-01-01 18:26:02	68493868
53033251	68494853	2015-01-01 19:03:02	68494853
53033251	68504099	2015-01-02 00:54:53	68504099
53033251	68516817	2015-01-02 09:55:43	68516817
53033251	68548215	2015-01-02 18:16:33	68548215
53033251	68612528	2015-01-03 22:41:33	68612528
53033251	68642712	2015-01-04 18:19:52	68642712
53032705	68248246	2014-12-29 10:55:42	68248246
53015222	68226851	2014-12-29 01:51:58	68226851
53015222	68230399	2014-12-29 03:41:13	68230399
53015222	68252966	2014-12-29 12:18:31	68252966
53014821	68230225	2014-12-29 03:34:46	68230225
53011138	68222094	2014-12-28 22:38:35	68222094
53011036	68222143	2014-12-28 22:40:40	68222143
52969198	68213764	2014-12-28 17:42:18	68213764
52969198	68220126	2014-12-28 21:28:47	68220126
52969198	68222348	2014-12-28 22:47:47	68222348
52853471	68214190	2014-12-28 17:58:38	68214190
52853471	68227066	2014-12-29 01:56:56	68227066
52853471	68230622	2014-12-29 03:48:56	68230622
